x,T,Ybar.Liq,p,rho,U_0,U_1,U_2
0.001,300,0,1000000000,11582.11721,-4.442904574e-14,0,0
0.003,300,0,1000000000,11582.11721,1.740175493e-13,0,0
0.005,300,0,1000000000,11582.11721,2.159560126e-13,0,0
0.007,300,0,1000000000,11582.11721,4.537463635e-13,0,0
0.009,300,0,1000000000,11582.11721,4.396084062e-13,0,0
0.011,300,0,1000000000,11582.11721,4.830131952e-13,0,0
0.013,300,0,1000000000,11582.11721,4.698354904e-13,0,0
0.015,300,0,1000000000,11582.11721,4.127052378e-13,0,0
0.017,300,0,1000000000,11582.11721,5.220346024e-13,0,0
0.019,300,0,1000000000,11582.11721,6.757569577e-13,0,0
0.021,300,0,1000000000,11582.11721,4.622323151e-13,0,0
0.023,300,0,1000000000,11582.11721,1.685556781e-13,0,0
0.025,300,0,1000000000,11582.11721,3.652019054e-13,0,0
0.027,300,0,1000000000,11582.11721,-3.938284962e-14,0,0
0.029,300,0,1000000000,11582.11721,2.363812153e-13,0,0
0.031,300,0,1000000000,11582.11721,2.881647625e-13,0,0
0.033,300,0,1000000000,11582.11721,4.568652624e-13,0,0
0.035,300,0,1000000000,11582.11721,3.513745055e-13,0,0
0.037,300,0,1000000000,11582.11721,3.985476895e-13,0,0
0.039,300,0,1000000000,11582.11721,3.016386801e-13,0,0
0.041,300,0,1000000000,11582.11721,3.999585517e-13,0,0
0.043,300,0,1000000000,11582.11721,2.991207813e-13,0,0
0.045,300,0,1000000000,11582.11721,3.001219859e-13,0,0
0.047,300,0,1000000000,11582.11721,4.872517472e-13,0,0
0.049,300,0,1000000000,11582.11721,4.135652308e-13,0,0
0.051,300,0,1000000000,11582.11721,4.058788742e-13,0,0
0.053,300,0,1000000000,11582.11721,4.939584596e-13,0,0
0.055,300,0,1000000000,11582.11721,2.800649582e-13,0,0
0.057,300,0,1000000000,11582.11721,4.297166277e-13,0,0
0.059,300,0,1000000000,11582.11721,2.803880534e-13,0,0
0.061,300,0,1000000000,11582.11721,3.528272202e-13,0,0
0.063,300,0,1000000000,11582.11721,1.247652368e-13,0,0
0.065,300,0,1000000000,11582.11721,1.217855016e-13,0,0
0.067,300,0,1000000000,11582.11721,4.182541836e-14,0,0
0.069,300,0,1000000000,11582.11721,1.796364409e-13,0,0
0.071,300,0,1000000000,11582.11721,4.234928745e-14,0,0
0.073,300,0,1000000000,11582.11721,4.553384909e-13,0,0
0.075,300,0,1000000000,11582.11721,1.621133663e-13,0,0
0.077,300,0,1000000000,11582.11721,3.402986443e-13,0,0
0.079,300,0,1000000000,11582.11721,2.598992015e-13,0,0
0.081,300,0,1000000000,11582.11721,3.595918979e-13,0,0
0.083,300,0,1000000000,11582.11721,3.981549532e-13,0,0
0.085,300,0,1000000000,11582.11721,4.624943163e-13,0,0
0.087,300,0,1000000000,11582.11721,6.154448367e-13,0,0
0.089,300,0,1000000000,11582.11721,1.43955656e-12,0,0
0.091,300,0,1000000000,11582.11721,2.874635067e-12,0,0
0.093,300,0,1000000000,11582.11721,7.807967588e-12,0,0
0.095,300,0,1000000000,11582.11721,2.090447625e-11,0,0
0.097,300,0,1000000000,11582.11721,5.821295357e-11,0,0
0.099,300,0,1000000000,11582.11721,1.627677589e-10,0,0
0.101,300,0,1000000000,11582.11721,4.571332867e-10,0,0
0.103,300,0,1000000000,11582.11721,1.282179954e-09,0,0
0.105,300,0,1000000000,11582.11721,3.582921436e-09,0,0
0.107,300,0,1000000000,11582.11721,9.879956533e-09,0,0
0.109,300,0,999999999.9,11582.11721,2.655756108e-08,0,0
0.111,300,0,999999999.8,11582.11721,5.875280059e-08,0,0
0.113,300,0,999999999.6,11582.11721,1.104218154e-07,0,0
0.115,299.9999999,0,999999999.2,11582.1172,1.964049694e-07,0,0
0.117,299.9999999,0,999999998.7,11582.1172,3.481947968e-07,0,0
0.119,299.9999998,0,999999997.6,11582.11719,6.067897412e-07,0,0
0.121,299.9999997,0,999999995.9,11582.11718,1.037908683e-06,0,0
0.123,299.9999994,0,999999993.1,11582.11715,1.755481613e-06,0,0
0.125,299.999999,0,999999988.5,11582.11712,2.939479452e-06,0,0
0.127,299.9999984,0,999999980.8,11582.11705,4.879340198e-06,0,0
0.129,299.9999973,0,999999968.4,11582.11695,8.04184677e-06,0,0
0.131,299.9999956,0,999999948.3,11582.11678,1.315698704e-05,0,0
0.133,299.9999928,0,999999915.9,11582.11652,2.137751386e-05,0,0
0.135,299.9999884,0,999999864.2,11582.11609,3.450748448e-05,0,0
0.137,299.9999813,0,999999782.1,11582.11541,5.532079955e-05,0,0
0.139,299.9999703,0,999999652.9,11582.11434,8.806057954e-05,0,0
0.141,299.999953,0,999999451.1,11582.11267,0.0001391605473,0,0
0.143,299.9999262,0,999999138.5,11582.11008,0.0002182877412,0,0
0.145,299.999885,0,999998657.8,11582.1061,0.000339832529,0,0
0.147,299.9998222,0,999997925.1,11582.10004,0.0005250126416,0,0
0.149,299.9997273,0,999996817,11582.09087,0.000804807494,0,0
0.151,299.999585,0,999995155.8,11582.07713,0.001223996625,0,0
0.153,299.9993734,0,999992686.5,11582.0567,0.001846641044,0,0
0.155,299.9990616,0,999989048.2,11582.0266,0.002763415564,0,0
0.157,299.9986062,0,999983734.8,11581.98264,0.004101265818,0,0
0.159,299.9979471,0,999976045.7,11581.91902,0.006035917254,0,0
0.161,299.9970021,0,999965021.3,11581.82782,0.008807791651,0,0
0.163,299.9956597,0,999949363.3,11581.69829,0.01274186981,0,0
0.165,299.9937713,0,999927337.6,11581.51608,0.01827195779,0,0
0.167,299.9911406,0,999896657.3,11581.26229,0.0259696403,0,0
0.169,299.9875124,0,999854347.6,11580.91231,0.03657791836,0,0
0.171,299.9825591,0,999796592.9,11580.43457,0.05104910916,0,0
0.173,299.9758667,0,999718571.1,11579.7892,0.07058602472,0,0
