x,T,p,rho,U_0,U_1,U_2
0.000625,2.5,1,1,-2.84088e-16,0,0
0.001875,2.5,1,1,-2.84088e-16,0,0
0.003125,2.5,1,1,6.36768e-16,0,0
0.004375,2.5,1,1,6.36768e-16,0,0
0.005625,2.5,1,1,8.03951e-16,0,0
0.006875,2.5,1,1,8.03951e-16,0,0
0.008125,2.5,1,1,-8.78966e-16,0,0
0.009375,2.5,1,1,-8.78966e-16,0,0
0.010625,2.5,1,1,5.40921e-16,0,0
0.011875,2.5,1,1,5.40921e-16,0,0
0.013125,2.5,1,1,6.34982e-16,0,0
0.014375,2.5,1,1,6.34982e-16,0,0
0.015625,2.5,1,1,5.68894e-17,0,0
0.016875,2.5,1,1,5.68894e-17,0,0
0.018125,2.5,1,1,-2.8277e-16,0,0
0.019375,2.5,1,1,-2.8277e-16,0,0
0.020625,2.5,1,1,6.21311e-16,0,0
0.021875,2.5,1,1,6.21311e-16,0,0
0.023125,2.5,1,1,5.80009e-16,0,0
0.024375,2.5,1,1,5.80009e-16,0,0
0.025625,2.5,1,1,-4.5145e-16,0,0
0.026875,2.5,1,1,-4.5145e-16,0,0
0.028125,2.5,1,1,7.80408e-16,0,0
0.029375,2.5,1,1,7.80408e-16,0,0
0.030625,2.5,1,1,-6.30661e-16,0,0
0.031875,2.5,1,1,-6.30661e-16,0,0
0.033125,2.5,1,1,-2.10287e-16,0,0
0.034375,2.5,1,1,-2.10287e-16,0,0
0.035625,2.5,1,1,9.95903e-17,0,0
0.036875,2.5,1,1,9.95903e-17,0,0
0.038125,2.5,1,1,2.19842e-16,0,0
0.039375,2.5,1,1,2.19842e-16,0,0
0.040625,2.5,1,1,-3.3634e-16,0,0
0.041875,2.5,1,1,-3.3634e-16,0,0
0.043125,2.5,1,1,-4.12886e-16,0,0
0.044375,2.5,1,1,-4.12886e-16,0,0
0.045625,2.5,1,1,-1.9199e-15,0,0
0.046875,2.5,1,1,-1.9199e-15,0,0
0.048125,2.5,1,1,-8.4867e-16,0,0
0.049375,2.5,1,1,-8.4867e-16,0,0
0.050625,2.5,1,1,-2.30188e-15,0,0
0.051875,2.5,1,1,-2.30188e-15,0,0
0.053125,2.5,1,1,-2.69306e-15,0,0
0.054375,2.5,1,1,-2.69306e-15,0,0
0.055625,2.5,1,1,-2.57006e-15,0,0
0.056875,2.5,1,1,-2.57006e-15,0,0
0.058125,2.5,1,1,-1.13796e-15,0,0
0.059375,2.5,1,1,-1.13796e-15,0,0
0.060625,2.5,1,1,-1.24915e-15,0,0
0.061875,2.5,1,1,-1.24915e-15,0,0
0.063125,2.5,1,1,-9.71155e-16,0,0
0.064375,2.5,1,1,-9.71155e-16,0,0
0.065625,2.5,1,1,-1.86293e-15,0,0
0.066875,2.5,1,1,-1.86293e-15,0,0
0.068125,2.5,1,1,-2.48818e-15,0,0
0.069375,2.5,1,1,-2.48818e-15,0,0
0.070625,2.5,1,1,-9.78405e-16,0,0
0.071875,2.5,1,1,-9.78405e-16,0,0
0.073125,2.5,1,1,-1.14196e-15,0,0
0.074375,2.5,1,1,-1.14196e-15,0,0
0.075625,2.5,1,1,8.82342e-17,0,0
0.076875,2.5,1,1,8.82342e-17,0,0
0.078125,2.5,1,1,-3.88255e-16,0,0
0.079375,2.5,1,1,-3.88255e-16,0,0
0.080625,2.5,1,1,-2.89538e-16,0,0
0.081875,2.5,1,1,-2.89538e-16,0,0
0.083125,2.5,1,1,6.83979e-16,0,0
0.084375,2.5,1,1,6.83979e-16,0,0
0.085625,2.5,1,1,9.68552e-18,0,0
0.086875,2.5,1,1,9.68552e-18,0,0
0.088125,2.5,1,1,-9.89844e-17,0,0
0.089375,2.5,1,1,-9.89844e-17,0,0
0.090625,2.5,1,1,-5.46822e-16,0,0
0.091875,2.5,1,1,-5.46822e-16,0,0
0.093125,2.5,1,1,8.53501e-18,0,0
0.094375,2.5,1,1,8.53501e-18,0,0
0.095625,2.5,1,1,-8.24786e-16,0,0
0.096875,2.5,1,1,-8.24786e-16,0,0
0.098125,2.5,1,1,8.8257e-16,0,0
0.099375,2.5,1,1,8.8257e-16,0,0
0.100625,2.5,1,1,-3.55903e-16,0,0
0.101875,2.5,1,1,-3.55903e-16,0,0
0.103125,2.5,1,1,-2.79129e-16,0,0
0.104375,2.5,1,1,-2.79129e-16,0,0
0.105625,2.5,1,1,-5.65693e-17,0,0
0.106875,2.5,1,1,-5.65693e-17,0,0
0.108125,2.5,1,1,3.11504e-16,0,0
0.109375,2.5,1,1,3.11504e-16,0,0
0.110625,2.5,1,1,-3.90371e-16,0,0
0.111875,2.5,1,1,-3.90371e-16,0,0
0.113125,2.5,1,1,6.86739e-16,0,0
0.114375,2.5,1,1,6.86739e-16,0,0
0.115625,2.5,1,1,-1.27041e-16,0,0
0.116875,2.5,1,1,-1.27041e-16,0,0
0.118125,2.5,1,1,3.39574e-17,0,0
0.119375,2.5,1,1,3.39574e-17,0,0
0.120625,2.5,1,1,-3.83395e-16,0,0
0.121875,2.5,1,1,-3.83395e-16,0,0
0.123125,2.5,1,1,5.35037e-17,0,0
0.124375,2.5,1,1,5.35037e-17,0,0
0.125625,2.5,1,1,2.59861e-16,0,0
0.126875,2.5,1,1,2.59861e-16,0,0
0.128125,2.5,1,1,2.37112e-16,0,0
0.129375,2.5,1,1,2.37112e-16,0,0
0.130625,2.5,1,1,-5.31935e-16,0,0
0.131875,2.5,1,1,-5.31935e-16,0,0
0.133125,2.5,1,1,-2.20713e-16,0,0
0.134375,2.5,1,1,-2.20713e-16,0,0
0.135625,2.5,1,1,6.32119e-18,0,0
0.136875,2.5,1,1,6.32119e-18,0,0
0.138125,2.5,1,1,6.33565e-16,0,0
0.139375,2.5,1,1,6.33565e-16,0,0
0.140625,2.5,1,1,-2.62208e-16,0,0
0.141875,2.5,1,1,-2.62208e-16,0,0
0.143125,2.5,1,1,-6.49904e-16,0,0
0.144375,2.5,1,1,-6.49904e-16,0,0
0.145625,2.5,1,1,-8.3893e-17,0,0
0.146875,2.5,1,1,-8.3893e-17,0,0
0.148125,2.5,1,1,5.42295e-16,0,0
0.149375,2.5,1,1,5.42295e-16,0,0
0.150625,2.5,1,1,-1.95128e-16,0,0
0.151875,2.5,1,1,-1.95128e-16,0,0
0.153125,2.5,1,1,-2.85697e-16,0,0
0.154375,2.5,1,1,-2.85697e-16,0,0
0.155625,2.5,1,1,-1.275e-16,0,0
0.156875,2.5,1,1,-1.275e-16,0,0
0.158125,2.5,1,1,6.48005e-16,0,0
0.159375,2.5,1,1,6.48005e-16,0,0
0.160625,2.5,1,1,-1.24534e-15,0,0
0.161875,2.5,1,1,-1.24534e-15,0,0
0.163125,2.5,1,1,8.39811e-16,0,0
0.164375,2.5,1,1,8.39811e-16,0,0
0.165625,2.5,1,1,-3.15713e-16,0,0
0.166875,2.5,1,1,-3.15713e-16,0,0
0.168125,2.5,1,1,7.07716e-16,0,0
0.169375,2.5,1,1,7.07716e-16,0,0
0.170625,2.5,1,1,-6.67982e-16,0,0
0.171875,2.5,1,1,-6.67982e-16,0,0
0.173125,2.5,1,1,3.41677e-16,0,0
0.174375,2.5,1,1,3.41677e-16,0,0
