x,T,Ybar.Liq,p,rho,U_0,U_1,U_2
0.000625,298.0000005,1,100002.0114,1000.048396,0.9993275613,0,0
0.001875,298.0000006,1,100002.5001,1000.048396,0.9996290684,0,0
0.003125,298.0000006,1,100002.8004,1000.048396,0.9997164635,0,0
0.004375,298.0000007,1,100003.3004,1000.048397,0.999702398,0,0
0.005625,298.0000009,1,100003.8189,1000.048397,0.999697765,0,0
0.006875,298.000001,1,100004.3277,1000.048397,0.9996983459,0,0
0.008125,298.0000011,1,100004.8355,1000.048397,0.9996985477,0,0
0.009375,298.0000012,1,100005.3437,1000.048398,0.9996985267,0,0
0.010625,298.0000013,1,100005.8519,1000.048398,0.9996985187,0,0
0.011875,298.0000014,1,100006.36,1000.048398,0.9996985193,0,0
0.013125,298.0000016,1,100006.8681,1000.048398,0.9996985221,0,0
0.014375,298.0000017,1,100007.3762,1000.048399,0.9996985213,0,0
0.015625,298.0000018,1,100007.8843,1000.048399,0.9996985234,0,0
0.016875,298.0000019,1,100008.3923,1000.048399,0.9996985252,0,0
0.018125,298.000002,1,100008.9003,1000.048399,0.9996985265,0,0
0.019375,298.0000021,1,100009.4082,1000.048399,0.9996985284,0,0
0.020625,298.0000023,1,100009.9161,1000.0484,0.9996985312,0,0
0.021875,298.0000024,1,100010.424,1000.0484,0.9996985332,0,0
0.023125,298.0000025,1,100010.9318,1000.0484,0.9996985361,0,0
0.024375,298.0000026,1,100011.4395,1000.0484,0.9996985391,0,0
0.025625,298.0000027,1,100011.9472,1000.048401,0.9996985423,0,0
0.026875,298.0000028,1,100012.4548,1000.048401,0.9996985457,0,0
0.028125,298.0000029,1,100012.9623,1000.048401,0.9996985495,0,0
0.029375,298.0000031,1,100013.4698,1000.048401,0.9996985533,0,0
0.030625,298.0000032,1,100013.9772,1000.048402,0.9996985576,0,0
0.031875,298.0000033,1,100014.4846,1000.048402,0.9996985619,0,0
0.033125,298.0000034,1,100014.9918,1000.048402,0.9996985667,0,0
0.034375,298.0000035,1,100015.499,1000.048402,0.9996985716,0,0
0.035625,298.0000036,1,100016.0061,1000.048403,0.9996985766,0,0
0.036875,298.0000038,1,100016.5132,1000.048403,0.9996985821,0,0
0.038125,298.0000039,1,100017.0201,1000.048403,0.9996985879,0,0
0.039375,298.000004,1,100017.527,1000.048403,0.9996985933,0,0
0.040625,298.0000041,1,100018.0337,1000.048404,0.9996985998,0,0
0.041875,298.0000042,1,100018.5404,1000.048404,0.9996986062,0,0
0.043125,298.0000043,1,100019.0469,1000.048404,0.9996986125,0,0
0.044375,298.0000044,1,100019.5534,1000.048404,0.9996986195,0,0
0.045625,298.0000046,1,100020.0597,1000.048405,0.9996986267,0,0
0.046875,298.0000047,1,100020.566,1000.048405,0.9996986339,0,0
0.048125,298.0000048,1,100021.0721,1000.048405,0.9996986414,0,0
0.049375,298.0000049,1,100021.5782,1000.048405,0.9996986494,0,0
0.050625,298.000005,1,100022.0841,1000.048406,0.9996986574,0,0
0.051875,298.0000051,1,100022.5899,1000.048406,0.9996986656,0,0
0.053125,298.0000052,1,100023.0955,1000.048406,0.9996986743,0,0
0.054375,298.0000054,1,100023.6011,1000.048406,0.9996986829,0,0
0.055625,298.0000055,1,100024.1065,1000.048407,0.999698692,0,0
0.056875,298.0000056,1,100024.6118,1000.048407,0.9996987014,0,0
0.058125,298.0000057,1,100025.117,1000.048407,0.9996987107,0,0
0.059375,298.0000058,1,100025.622,1000.048407,0.9996987206,0,0
0.060625,298.0000059,1,100026.1269,1000.048408,0.9996987307,0,0
0.061875,298.0000061,1,100026.6316,1000.048408,0.9996987406,0,0
0.063125,298.0000062,1,100027.1362,1000.048408,0.9996987513,0,0
0.064375,298.0000063,1,100027.6406,1000.048408,0.999698762,0,0
0.065625,298.0000064,1,100028.1449,1000.048409,0.9996987729,0,0
0.066875,298.0000065,1,100028.6491,1000.048409,0.9996987842,0,0
0.068125,298.0000066,1,100029.1531,1000.048409,0.9996987956,0,0
0.069375,298.0000067,1,100029.6569,1000.048409,0.9996988073,0,0
0.070625,298.0000069,1,100030.1606,1000.04841,0.9996988194,0,0
0.071875,298.000007,1,100030.6641,1000.04841,0.9996988313,0,0
0.073125,298.0000071,1,100031.1674,1000.04841,0.9996988439,0,0
0.074375,298.0000072,1,100031.6706,1000.04841,0.9996988567,0,0
0.075625,298.0000073,1,100032.1736,1000.048411,0.9996988693,0,0
0.076875,298.0000074,1,100032.6764,1000.048411,0.9996988827,0,0
0.078125,298.0000075,1,100033.1791,1000.048411,0.9996988961,0,0
0.079375,298.0000077,1,100033.6816,1000.048411,0.9996989095,0,0
0.080625,298.0000078,1,100034.1838,1000.048411,0.9996989236,0,0
0.081875,298.0000079,1,100034.6859,1000.048412,0.9996989378,0,0
0.083125,298.000008,1,100035.1878,1000.048412,0.999698952,0,0
0.084375,298.0000081,1,100035.6895,1000.048412,0.9996989667,0,0
0.085625,298.0000082,1,100036.1911,1000.048412,0.9996989816,0,0
0.086875,298.0000083,1,100036.6924,1000.048413,0.9996989968,0,0
0.088125,298.0000085,1,100037.1935,1000.048413,0.9996990119,0,0
0.089375,298.0000086,1,100037.6944,1000.048413,0.9996990277,0,0
0.090625,298.0000087,1,100038.1951,1000.048413,0.9996990435,0,0
0.091875,298.0000088,1,100038.6956,1000.048414,0.9996990596,0,0
0.093125,298.0000089,1,100039.1959,1000.048414,0.9996990758,0,0
0.094375,298.000009,1,100039.696,1000.048414,0.9996990925,0,0
0.095625,298.0000091,1,100040.1958,1000.048414,0.9996991094,0,0
0.096875,298.0000093,1,100040.6955,1000.048415,0.9996991263,0,0
0.098125,298.0000094,1,100041.1949,1000.048415,0.9996991438,0,0
0.099375,298.0000095,1,100041.6941,1000.048415,0.9996991612,0,0
0.100625,298.0000096,1,100042.193,1000.048415,0.9996991791,0,0
0.101875,298.0000097,1,100042.6917,1000.048416,0.9996991972,0,0
0.103125,298.0000098,1,100043.1902,1000.048416,0.9996992154,0,0
0.104375,298.0000099,1,100043.6885,1000.048416,0.999699234,0,0
0.105625,298.00001,1,100044.1865,1000.048416,0.9996992527,0,0
0.106875,298.0000102,1,100044.6842,1000.048417,0.9996992719,0,0
0.108125,298.0000103,1,100045.1818,1000.048417,0.9996992912,0,0
0.109375,298.0000104,1,100045.679,1000.048417,0.9996993103,0,0
0.110625,298.0000105,1,100046.1761,1000.048417,0.9996993305,0,0
0.111875,298.0000106,1,100046.6728,1000.048418,0.9996993506,0,0
0.113125,298.0000107,1,100047.1693,1000.048418,0.9996993704,0,0
0.114375,298.0000108,1,100047.6656,1000.048418,0.9996993912,0,0
0.115625,298.0000109,1,100048.1616,1000.048418,0.999699412,0,0
0.116875,298.0000111,1,100048.6573,1000.048418,0.999699433,0,0
0.118125,298.0000112,1,100049.1528,1000.048419,0.9996994543,0,0
0.119375,298.0000113,1,100049.6479,1000.048419,0.9996994755,0,0
0.120625,298.0000114,1,100050.1429,1000.048419,0.9996994976,0,0
0.121875,298.0000115,1,100050.6375,1000.048419,0.9996995197,0,0
0.123125,298.0000116,1,100051.1318,1000.04842,0.9996995412,0,0
0.124375,298.0000117,1,100051.6259,1000.04842,0.9996995643,0,0
0.125625,298.0000118,1,100052.1197,1000.04842,0.9996995871,0,0
0.126875,298.000012,1,100052.6132,1000.04842,0.9996996095,0,0
0.128125,298.0000121,1,100053.1064,1000.048421,0.9996996333,0,0
0.129375,298.0000122,1,100053.5994,1000.048421,0.9996996568,0,0
0.130625,298.0000123,1,100054.092,1000.048421,0.99969968,0,0
0.131875,298.0000124,1,100054.5843,1000.048421,0.9996997046,0,0
0.133125,298.0000125,1,100055.0763,1000.048422,0.9996997286,0,0
0.134375,298.0000126,1,100055.5681,1000.048422,0.9996997529,0,0
0.135625,298.0000127,1,100056.0595,1000.048422,0.9996997778,0,0
0.136875,298.0000129,1,100056.5506,1000.048422,0.9996998029,0,0
0.138125,298.000013,1,100057.0414,1000.048423,0.9996998277,0,0
0.139375,298.0000131,1,100057.5319,1000.048423,0.9996998536,0,0
0.140625,298.0000132,1,100058.022,1000.048423,0.9996998793,0,0
0.141875,298.0000133,1,100058.5119,1000.048423,0.9996999048,0,0
0.143125,298.0000134,1,100059.0014,1000.048423,0.9996999316,0,0
0.144375,298.0000135,1,100059.4906,1000.048424,0.9996999575,0,0
0.145625,298.0000136,1,100059.9794,1000.048424,0.9996999845,0,0
0.146875,298.0000137,1,100060.468,1000.048424,0.9997000116,0,0
0.148125,298.0000139,1,100060.9562,1000.048424,0.9997000384,0,0
0.149375,298.000014,1,100061.4441,1000.048425,0.9997000662,0,0
0.150625,298.0000141,1,100061.9316,1000.048425,0.9997000939,0,0
0.151875,298.0000142,1,100062.4188,1000.048425,0.9997001216,0,0
0.153125,298.0000143,1,100062.9056,1000.048425,0.99970015,0,0
0.154375,298.0000144,1,100063.3921,1000.048426,0.9997001785,0,0
0.155625,298.0000145,1,100063.8783,1000.048426,0.999700207,0,0
0.156875,298.0000146,1,100064.3641,1000.048426,0.9997002362,0,0
0.158125,298.0000147,1,100064.8495,1000.048426,0.9997002652,0,0
0.159375,298.0000148,1,100065.3346,1000.048427,0.9997002948,0,0
0.160625,298.000015,1,100065.8193,1000.048427,0.9997003244,0,0
0.161875,298.0000151,1,100066.3037,1000.048427,0.9997003544,0,0
0.163125,298.0000152,1,100066.7877,1000.048427,0.9997003847,0,0
0.164375,298.0000153,1,100067.2713,1000.048427,0.999700415,0,0
0.165625,298.0000154,1,100067.7546,1000.048428,0.9997004458,0,0
0.166875,298.0000155,1,100068.2375,1000.048428,0.9997004768,0,0
0.168125,298.0000156,1,100068.72,1000.048428,0.999700508,0,0
0.169375,298.0000157,1,100069.2021,1000.048428,0.9997005395,0,0
0.170625,298.0000158,1,100069.6838,1000.048429,0.9997005711,0,0
0.171875,298.0000159,1,100070.1652,1000.048429,0.9997006032,0,0
0.173125,298.0000161,1,100070.6462,1000.048429,0.9997006353,0,0
0.174375,298.0000162,1,100071.1268,1000.048429,0.9997006678,0,0
0.175625,298.0000163,1,100071.607,1000.04843,0.9997007006,0,0
0.176875,298.0000164,1,100072.0868,1000.04843,0.9997007335,0,0
0.178125,298.0000165,1,100072.5662,1000.04843,0.9997007667,0,0
0.179375,298.0000166,1,100073.0452,1000.04843,0.9997008003,0,0
0.180625,298.0000167,1,100073.5238,1000.048431,0.999700834,0,0
0.181875,298.0000168,1,100074.002,1000.048431,0.999700868,0,0
0.183125,298.0000169,1,100074.4798,1000.048431,0.9997009023,0,0
0.184375,298.000017,1,100074.9572,1000.048431,0.9997009367,0,0
0.185625,298.0000171,1,100075.4342,1000.048431,0.9997009715,0,0
0.186875,298.0000173,1,100075.9107,1000.048432,0.9997010065,0,0
0.188125,298.0000174,1,100076.3869,1000.048432,0.9997010418,0,0
0.189375,298.0000175,1,100076.8626,1000.048432,0.9997010773,0,0
0.190625,298.0000176,1,100077.3379,1000.048432,0.999701113,0,0
0.191875,298.0000177,1,100077.8128,1000.048433,0.9997011491,0,0
0.193125,298.0000178,1,100078.2872,1000.048433,0.9997011853,0,0
0.194375,298.0000179,1,100078.7612,1000.048433,0.9997012219,0,0
0.195625,298.000018,1,100079.2348,1000.048433,0.9997012586,0,0
0.196875,298.0000181,1,100079.7079,1000.048434,0.9997012957,0,0
0.198125,298.0000182,1,100080.1807,1000.048434,0.999701333,0,0
0.199375,298.0000183,1,100080.6529,1000.048434,0.9997013705,0,0
0.200625,298.0000184,1,100081.1247,1000.048434,0.9997014083,0,0
0.201875,298.0000185,1,100081.5961,1000.048434,0.9997014464,0,0
0.203125,298.0000187,1,100082.0671,1000.048435,0.9997014847,0,0
0.204375,298.0000188,1,100082.5375,1000.048435,0.9997015233,0,0
0.205625,298.0000189,1,100083.0076,1000.048435,0.9997015621,0,0
0.206875,298.000019,1,100083.4771,1000.048435,0.9997016012,0,0
0.208125,298.0000191,1,100083.9463,1000.048436,0.9997016405,0,0
0.209375,298.0000192,1,100084.4149,1000.048436,0.9997016801,0,0
0.210625,298.0000193,1,100084.8831,1000.048436,0.9997017199,0,0
0.211875,298.0000194,1,100085.3508,1000.048436,0.99970176,0,0
0.213125,298.0000195,1,100085.8181,1000.048436,0.9997018004,0,0
0.214375,298.0000196,1,100086.2849,1000.048437,0.999701841,0,0
0.215625,298.0000197,1,100086.7512,1000.048437,0.9997018819,0,0
0.216875,298.0000198,1,100087.217,1000.048437,0.999701923,0,0
0.218125,298.0000199,1,100087.6824,1000.048437,0.9997019644,0,0
0.219375,298.00002,1,100088.1473,1000.048438,0.9997020061,0,0
0.220625,298.0000201,1,100088.6117,1000.048438,0.999702048,0,0
0.221875,298.0000202,1,100089.0756,1000.048438,0.9997020901,0,0
0.223125,298.0000204,1,100089.539,1000.048438,0.9997021326,0,0
0.224375,298.0000205,1,100090.002,1000.048438,0.9997021752,0,0
0.225625,298.0000206,1,100090.4644,1000.048439,0.9997022182,0,0
0.226875,298.0000207,1,100090.9264,1000.048439,0.9997022613,0,0
0.228125,298.0000208,1,100091.3878,1000.048439,0.9997023048,0,0
0.229375,298.0000209,1,100091.8488,1000.048439,0.9997023485,0,0
0.230625,298.000021,1,100092.3092,1000.04844,0.9997023925,0,0
0.231875,298.0000211,1,100092.7692,1000.04844,0.9997024367,0,0
0.233125,298.0000212,1,100093.2286,1000.04844,0.9997024812,0,0
0.234375,298.0000213,1,100093.6876,1000.04844,0.9997025259,0,0
0.235625,298.0000214,1,100094.146,1000.04844,0.9997025709,0,0
0.236875,298.0000215,1,100094.6039,1000.048441,0.9997026162,0,0
0.238125,298.0000216,1,100095.0613,1000.048441,0.9997026617,0,0
0.239375,298.0000217,1,100095.5181,1000.048441,0.9997027075,0,0
0.240625,298.0000218,1,100095.9745,1000.048441,0.9997027535,0,0
0.241875,298.0000219,1,100096.4303,1000.048442,0.9997027998,0,0
0.243125,298.000022,1,100096.8856,1000.048442,0.9997028464,0,0
0.244375,298.0000221,1,100097.3404,1000.048442,0.9997028932,0,0
0.245625,298.0000222,1,100097.7946,1000.048442,0.9997029403,0,0
0.246875,298.0000223,1,100098.2483,1000.048442,0.9997029876,0,0
0.248125,298.0000224,1,100098.7015,1000.048443,0.9997030352,0,0
0.249375,298.0000225,1,100099.1541,1000.048443,0.9997030831,0,0
0.250625,298.0000226,1,100099.6062,1000.048443,0.9997031312,0,0
0.251875,298.0000227,1,100100.0578,1000.048443,0.9997031796,0,0
0.253125,298.0000228,1,100100.5088,1000.048444,0.9997032282,0,0
0.254375,298.0000229,1,100100.9593,1000.048444,0.9997032771,0,0
0.255625,298.000023,1,100101.4092,1000.048444,0.9997033263,0,0
0.256875,298.0000232,1,100101.8585,1000.048444,0.9997033757,0,0
0.258125,298.0000233,1,100102.3074,1000.048444,0.9997034254,0,0
0.259375,298.0000234,1,100102.7556,1000.048445,0.9997034754,0,0
0.260625,298.0000235,1,100103.2033,1000.048445,0.9997035256,0,0
0.261875,298.0000236,1,100103.6504,1000.048445,0.999703576,0,0
0.263125,298.0000237,1,100104.097,1000.048445,0.9997036268,0,0
0.264375,298.0000238,1,100104.543,1000.048446,0.9997036778,0,0
0.265625,298.0000239,1,100104.9884,1000.048446,0.999703729,0,0
0.266875,298.000024,1,100105.4333,1000.048446,0.9997037806,0,0
0.268125,298.0000241,1,100105.8776,1000.048446,0.9997038324,0,0
0.269375,298.0000242,1,100106.3213,1000.048446,0.9997038844,0,0
0.270625,298.0000243,1,100106.7645,1000.048447,0.9997039367,0,0
0.271875,298.0000244,1,100107.207,1000.048447,0.9997039893,0,0
0.273125,298.0000245,1,100107.649,1000.048447,0.9997040421,0,0
0.274375,298.0000246,1,100108.0904,1000.048447,0.9997040952,0,0
0.275625,298.0000247,1,100108.5313,1000.048447,0.9997041486,0,0
0.276875,298.0000248,1,100108.9715,1000.048448,0.9997042022,0,0
0.278125,298.0000249,1,100109.4111,1000.048448,0.9997042561,0,0
0.279375,298.000025,1,100109.8502,1000.048448,0.9997043103,0,0
0.280625,298.0000251,1,100110.2886,1000.048448,0.9997043647,0,0
0.281875,298.0000252,1,100110.7265,1000.048449,0.9997044194,0,0
0.283125,298.0000253,1,100111.1638,1000.048449,0.9997044744,0,0
0.284375,298.0000254,1,100111.6004,1000.048449,0.9997045296,0,0
0.285625,298.0000255,1,100112.0365,1000.048449,0.9997045851,0,0
0.286875,298.0000256,1,100112.4719,1000.048449,0.9997046408,0,0
0.288125,298.0000257,1,100112.9068,1000.04845,0.9997046968,0,0
0.289375,298.0000258,1,100113.341,1000.04845,0.9997047531,0,0
0.290625,298.0000259,1,100113.7746,1000.04845,0.9997048097,0,0
0.291875,298.000026,1,100114.2077,1000.04845,0.9997048665,0,0
0.293125,298.0000261,1,100114.6401,1000.04845,0.9997049236,0,0
0.294375,298.0000262,1,100115.0718,1000.048451,0.9997049809,0,0
0.295625,298.0000263,1,100115.503,1000.048451,0.9997050385,0,0
0.296875,298.0000263,1,100115.9335,1000.048451,0.9997050964,0,0
0.298125,298.0000264,1,100116.3635,1000.048451,0.9997051545,0,0
0.299375,298.0000265,1,100116.7927,1000.048451,0.9997052129,0,0
0.300625,298.0000266,1,100117.2214,1000.048452,0.9997052716,0,0
0.301875,298.0000267,1,100117.6494,1000.048452,0.9997053306,0,0
0.303125,298.0000268,1,100118.0768,1000.048452,0.9997053898,0,0
0.304375,298.0000269,1,100118.5036,1000.048452,0.9997054492,0,0
0.305625,298.000027,1,100118.9297,1000.048452,0.999705509,0,0
0.306875,298.0000271,1,100119.3552,1000.048453,0.999705569,0,0
0.308125,298.0000272,1,100119.7801,1000.048453,0.9997056293,0,0
